ProductCode,VariantCode,ItemType,Action,POSNumber,Name,Price,Status,API_Status,API_Response_Content
100088,100088,,,100088,Original Crispy Burger,7.95,,,
170608,170608,,,170608,2 Tenders,4.95,,,
100260,100260,,,100260,Zinger Stacker,10.95,,,
141013,141013,,,141013,Sparkling Water,3.75,,,
181004,181004,,,181004,1 Wicked Wing,2.00,,,
183008,183008,,,183008,4 Tenders,9.16,,,
170512,170512,,,170512,2xOC Fillets,6.00,,,
170707,170707,,,170707,3 Nuggets,2.95,,,
141029,141029,,,141029,1.25L 7Up,3.00,,,
100502,100502,,,100502,OC BBQ Stacker,11.95,,,
141126,141126,,,141126,Lipton Iced Tea,4.75,,,
100062,100062,,,100062,Zinger B&C,7.45,,,
136056,136056,,,136056,ADD 2 Choc Mous,5.95,,,
136064,136064,,,136064,Jalapeno Bowl,5.95,,,
136046,136046,,,136046,Dinner Roll,1.00,,,
200036,200036,,,200036,3 Dipping Sauce,1.80,,,
145169,145169,Drinks,,145169,NO 1.25LT DRINK,0.00,,,
136050,136050,,,136050,Chocolate Mousse,3.25,,,
181013,181013,,,181013,4 WWings,7.93,,,
183003,183003,,,183003,6 Tenders,15.90,,,
100250,100250NOTADUPE,,Create,,Zinger Burger,11.11,Failed,400,"ErrorCode: Common.LookupNotUnique  ErrorMessage: Multiple references found with lookup by Zinger Burger,1(MenuItemName,CorporatePOSNumber). [Request: 0dfa1766-7599-4a84-896b-4c397a2a4a2f, Correlation: 0dfa1766-7599-4a84-896b-4c397a2a4a2f, Item: 00000cfc-0000-0000-0000-000000000000, ItemID: '', ItemName: 'Zinger Burger']"
180085,180085,,,180085,125 HS PC,243.75,,,
183032,183032,,,183032,100 OR Tenders,195.00,,,
120008,120008,,,120008,Original Twist,9.45,,,
136062,136062,,,136062,4 Rg Coleslaw,7.45,,,
184011,184011,,,184011,5 Nuggets,6.20,,,
180076,180076,,,180076,10 PC,16.95,,,
180066,180066,,,180066,21 PC,37.95,,,
191010,191010,,,191010,Dip Aioli,0.60,,,
184005,184005,,,184005,18 Nuggets,17.01,,,
100252,100252NOTADUPE,,Create,,Zing Burger $5,5.00,Failed,400,"ErrorCode: Common.UnknownError  ErrorMessage: UnknownError: Exception while processing request: Specified Item lookup is not supported. [Request: c604ba89-b790-4274-a59d-bea003948d08, Correlation: c604ba89-b790-4274-a59d-bea003948d08, Entity: UNKNOWN]"
136007,136007,,,136007,Share Pk Chips,0.00,,,
120003,120003,,,120003,BBQ Slider,3.75,,,
183001,183001,,,183001,3 Tenders,8.95,,,
141070,141070,,,141070,Water 600mL,3.75,,,
141076,141076,,,141076,Apple Juice,3.75,,,
183002,183002,,,183002,5 Tenders,11.95,,,
Mountain Dew,141020,,,141020,Reg Mt Dew,3.75,,,
Mountain Dew,141025,,,141025,Reg Mt Dew,4.75,,,
Mountain Dew,141026,,,141026,Reg Mt Dew,5.45,,,
170709,170709,,,170709,10 Nuggets,9.95,,,
183006,183006,,,183006,10 Tenders,30.00,,,
141066,141066,,,141066,1.25L Solo,4.45,,,
182008,182008,,,182008,2 Zing Fillets,7.80,,,
181002,181002,,,181002,10 Wicked Wings,12.95,,,
100059,100059,,,100059,Zinger Chipster,7.45,,,
