choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Shared Meals 4th Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 4th Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 4th Burger Choice,100068,,Orange,.0,100068,,.0,,100068,,.0,
Shared Meals 4th Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 4th Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 4th Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 4th Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 4th Burger Choice,100250,,Orange,.0,100250,,.0,,100250,,.0,
Shared Meals 4th Burger Choice,100057,,Orange,.0,100057,,.0,,100057,,.0,
Shared Meals 4th Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 4th Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 4th Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 4th Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 4th Burger Choice,100088,,Orange,.0,100088,,.0,,100088,,.0,
Shared Meals 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 1st Burger Choice,120008,,Orange,.0,120008,,.0,,120008,,.0,
Shared Meals 1st Burger Choice,120009,,Orange,.0,120009,,.0,,120009,,.0,
Shared Meals 1st Burger Choice,100068,,Orange,.0,100068,,.0,,100068,,.0,
Shared Meals 1st Burger Choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
Shared Meals 1st Burger Choice,100502,,Orange,.0,100502,,.0,,100502,,.0,
Shared Meals 1st Burger Choice,100501,,Orange,.0,100501,,.0,,100501,,.0,
Shared Meals 1st Burger Choice,100089,,Orange,.0,100089,,.0,,100089,,.0,
Shared Meals 1st Burger Choice,100250,,Orange,.0,100250,,.0,,100250,,.0,
