Name,POSNumber,MenuItemUniqueID
Zinger Twist,120009,ee55a1ad-bb10-4e26-963f-7bb2a1a546b8
Pepper Slider,120010,e5b8360d-10d3-49c9-bee5-2d989ec3d067
ADD BBQ Sldr,120011,a6456bbf-6678-4bdf-b3f9-f2dbd2d6d024
Super Slider,120012,6c3a9565-876b-4ff0-98b4-b3a7ebcacd6b
Twst Zng Crunch,120013,1699e557-f78e-43d4-8943-3c84fa50c20b
Super Slider,120014,4b1f483b-95aa-43f6-81a2-cb2db006a506
BBQ B&C Twister,120015,385eb06b-28a1-40b3-8939-2cb7d82c3172
Pop N Twister,120016,babd2a50-2ec7-4f1c-9b97-f87d78a2859c
Zng Stack Twist,120017,a2cb312f-c9ea-4e4d-a3b4-617ca97b6dc6
Zinger Nacho,120018,c92cb3e5-27c0-4c64-bc01-481a7d226ffc
Slider Stacker,120019,a2a452f5-3121-432c-b579-415153841ded
ADD Super Sldr,120020,1300a56e-c35b-4f2e-b0ed-ea44e8b8b580
HS Aioli Slider,120021,521a5786-816b-492b-95f2-ea2df237fbcd
Spicy Snack,120022,0b56fd9c-b9c4-48fd-b66f-fcdb60569b38
Nacho Twister,120023,37d45ab2-0cd9-46b3-a082-ebc791405138
Nugget Slider,120024,5cb2174b-28ca-41c5-b15a-f5d1feb1061d
Pepper Slider,120025,62d27fdb-5e1e-444a-9dc2-5633cd07c4b5
BBQ Slider,120026,190527ae-d5b9-4a8b-b534-105b064897db
KACY Takeover,120027,1715c4aa-ed17-496b-aa96-bab177c29c1e
*Bk Hny Mus Tws,120100,8291700f-dd9b-4880-8ce5-c0ad980707ff
Bk Caes Twister,120101,7f51b8e2-ac22-4e1f-a07c-37b114a84fff
Bk Spcy Twister,120102,5e12af73-ec98-411a-8d6c-6468be3123fa
Bk BLT Twister,120103,4ec91e85-eac2-49fe-b469-80aa7b6f6994
Bk Hny Mus Twst,120106,fbd313eb-6c3b-48f5-85dc-5037c8db5875
BK SChg Twister,120107,1193b2e2-4a64-41f9-a6e9-1831fc90847e
BK BcLv Twister,120108,ce19026c-8248-4b2c-9e93-671f6e5464a4
SChg Twister,120109,256a32b2-5ada-47af-be21-51a0151db15a
Twst Bac Lov,120110,9a0719a1-f72e-4750-857c-a90d9351e758
_______________,136000,e1eb4afe-d574-4bf9-ad79-3dc3627cd5e4
<Sides>,136001,97eab7e0-add4-4f64-b5bd-455b2ae56768
4 Reg Sides,136002,6d773fc9-eb4b-4f17-bc6d-55cd76101b6f
Cup Chips,136003,0fa0cf0f-7a40-4b6e-8fe4-95f22811e891
2 Cup Chips,136004,50f64c2f-9985-4043-aff6-f5524c703cf5
Reg Chips,136005,d7f4c90d-fc9f-467c-9c98-2a32d3ac7c58
4 Reg Sides,136006,5de43c54-d4f8-45ca-8680-97e9ddb07de5
Share Pk Chips,136007,3442da87-be48-45b2-b3a3-1320297ff90d
