choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
3 Dipping Choice,200036,,Orange,.0,200036,Orange,.0,,200036,Orange,.0,
Kids Meal Sides,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Kids Meal Sides,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Zinger Chipster Burger Choice,100059,,Orange,.0,100059,Orange,.0,,100059,Orange,.0,
3 Nuggets,170707,,Orange,.0,170707,Orange,.0,,170707,Orange,.0,
Shared Meals 1st Side choice,136047,,Orange,.0,136047,Orange,.0,,136047,Orange,.0,
Maxi Popcorn Chicken,185001,,Orange,.0,185001,Orange,.0,,185001,Orange,.0,
Chips Choice,136004,,Orange,.0,136004,,.0,,136004,,.0,
Chips Choice,136007,,Orange,.0,136007,,.0,,136007,,.0,
Chips Choice,136004,,Orange,.0,136004,,.0,,136004,,.0,
Chips Choice,136007,,Orange,.0,136007,,.0,,136007,,.0,
Kids Meal Drinks,141076,,Orange,.0,141076,Orange,.0,,141076,Orange,.0,
Kids Meal Drinks,141126,,Orange,.0,141126,Orange,.0,,141126,Orange,.0,
Kids Meal Drinks,141020,,Orange,.0,141020,Orange,.0,,141020,Orange,.0,
4 Wicked Wings,181013,,Orange,.0,181013,Orange,.0,,181013,Orange,.0,
SNK POPCORN CMB,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Freeze Drinks,141099,,Orange,.0,141099,Orange,.0,,141099,Orange,.0,
3 Tenders,170605,,Orange,.0,170605,Orange,.0,,170605,Orange,.0,
Popcorn Chicken choice,185000,,Orange,.0,185000,Orange,.0,,185000,Orange,.0,
Add Drink for $1.50?,141002,,Orange,.0,141002,Orange,.0,,141002,Orange,.0,
Go Bucket Choice,185003,,Orange,.0,185003,Orange,.0,,185003,Orange,.0,
Go Bucket Choice,191013,,Orange,.0,191013,Orange,.0,,191013,Orange,.0,
