PromotionID,Combo_Name,PromotionUniqueID
9000,**<LE Coupons LSM>**,6f654225-860e-44b9-be70-9ea5cf63358d
1067,ZINGER CHEESY CMB,4e1ec657-cf41-4c5a-b64e-80b8bfe32529
6001,2 PC BOX,e5ea6a12-4fcc-4222-ab93-c48e8eeb4674
9016,GO BUCKET CMB LSM,d3a9a667-4971-4186-bfd2-ad12ebf3bc2d
4004,H&C ZING BOX,e8fcb03e-442b-4292-a7ef-13daff73d96f
1118,! OC B&C CMB u,78f20780-b9a8-4452-8270-0162c47191bb
9065,ZINGER NUGGS N CHP r,4a0764bc-a472-4636-96cf-95085c67b3ad
9998,*******************,79f0bf1d-a520-4496-948b-91839994e793
1107,! ZINGER BOWL CMB u,2ce1736e-83c3-4818-b75d-5a8b07f4abe0
9017,$15 COL CHICK CHP r,d5581b9d-ae27-4f60-97c1-1cb3e3b66e4b
4012,FILLETS OC BOX,08a037ab-ccf1-4f43-a582-0307db33be8d
7050,STACKED SNACK,2c09c5e4-9a5a-440b-974d-aa107067b287
1101,! DBL TENDER CMB u,d1ea75aa-b361-4c52-b7cf-61b8082db90f
6104,FAVOURITES BOX,a9f11788-d9a8-4217-83c8-df384d8dbfdd
8003,FAMILY FEAST,873836a7-589b-4935-8f8b-59308685ab47
7001,ORIG TENDERS BOX,90914160-49c0-446e-a109-5cfa8198ab8a
8038,BURGER FEAST,91bc9766-0e60-4ae3-93df-c5f9f3260d11
1006,ORIGINAL TWIST CMB,e9818524-2932-4024-900d-1956f7523a90
7021,6 WING R/CHIP,e7848b04-2b54-42aa-a64e-5110afe67cc7
9063,ZING BOWL 2 SLIDERS,584ffb29-09ff-4412-bb20-9a33dc8e5b58
3000,***<Nuggets>***,4f47df1f-14ae-4e1c-ac4b-0dfa01e481a3
1014,REG POPCORN CMB,ab93efe4-c93e-4473-adcc-54e1a42f3b41
1078,6 PC CMB,3cca718b-d6f2-4ff2-9028-17b04c079141
4005,ZNG STACKER BOX,049f80ca-f667-4594-bf43-b64d25b9a8ae
1043,Fix - Make it Combo,d28ad024-62fc-4dd6-95f7-cacd711a7777
1102,! ORIG TWIST CMB u,d332dc07-8a55-4a5d-9ca1-5296f3db752e
9072,ZINGER & POP LUNCH,8cdbc76a-4592-4cd4-a8de-d77b7be5fc90
1114,! 3 WING CMB u,93414f2b-e043-4487-855f-dd53602aaf7a
7014,DINNER FOR 2,2479ec3f-b328-4b2f-922d-2b45b1635cce
8011,ADD 2 SIDES,c156e3a3-75cb-4dfc-bd7b-dbd382895c81
10002,Finger Foods 20+,1be31dc4-01eb-4944-9c43-6e69823b15b3
6002,3 PC BOX,e93bfe1e-28cb-4190-894a-a65401304b10
1037,KIDS 4 NUGGETS,01fcf84d-7cd3-49ef-8dea-6a089abb807a
9061,ZINGER NUGGS CMB r,12ea54c6-2e9b-4762-81ab-e76ee3c42485
1017,2 PC CMB,36fe5684-b56f-4a7f-8888-fa7d6fcf9122
4003,DBL TENDER BOX,016696b0-27d7-479e-8603-6bb225b9ed6b
4109,ZINGER B&C BOX u,946e1864-d67a-40e3-a3ca-dd74ea8dbe97
3999,********************,dff74583-e49a-4d14-90d1-fd3003a0dc57
4029,! ZING KEBAB POP BOX,7a9a5574-c9a0-4e75-9dfe-f32ccc31740b
1044,! OC TOWER CMB,9705e9a7-8027-4186-9653-d86b7f3732bd
1108,! ORIG BOWL CMB u,b81fb36e-6a08-4814-8113-15846703ff82
1058,6 PC H&C CMB,55d42397-1c36-43ad-8a27-2ad7dcf6d8a5
1106,! ZINGER CRUNCH C u,b7b8723a-0dc8-4b0b-a6b0-cd45f2d2c467
4037,FLG BOX,a9c59e4e-564f-4751-ac0a-b633fb05b28b
4101,H&C ZING BOX u,65ed5e64-8507-4f0d-ba1e-9ad2272fb3b6
1104,! ORIG CRISPY CMB u,2233d055-ac91-4836-8da3-1aa058200abc
8040,MEGA BURGER FEAST,343eb3bb-e174-4a81-b778-dd61696a1e55
7051,CHICKEN LUNCH,7466ff47-4678-4ae4-8ba6-5ffcb28bca87
9502,POP NUGG FEAST,78154691-167b-4318-8059-5738d61e6895
