Name,POSNumber,MenuItemUniqueID
Gravy,136034,76a27ce6-ab6e-4c0a-a4c8-bf81b9053540
Gravy 2x110g,136035,465a4d20-07a1-486a-a96c-b85ec34cd7d2
Lg Pot/Grvy,136038,30fa30b3-ca3f-495f-badf-cfc0c165944e
Reg Coleslaw,136040,8a1c25b5-83aa-49df-88fa-a9abb52d08c4
Lg Coleslaw,136045,1e2445ec-c7ed-45f0-97a9-999daa2f121f
Dinner Roll,136046,03519b6b-7fd1-4d9d-b9b2-a27da30ae284
4 Dinner Rolls,136047,c0181ba5-1aac-4b4b-ab03-47b110d8bded
Dinner Roll,136048,2ce2aa12-8216-41e6-bfee-82deeadfdbb0
Choc Mousse,136050,4454d558-0a84-4a02-9c22-99df9a8fb929
4 Dinner Rolls,136053,da7c91d6-1c8a-4053-bec7-c9c7c139dd72
Choc Mousse,136055,b135cf7d-1fa6-4ce8-8bb4-00ee93119b5c
2 Choc Mous,136056,7c2106ca-2882-4276-a9af-49fde50bd093
Reg Gravy,136059,e818b809-ca4e-4d60-9ee9-777321297d14
4 Rg Coleslaw,136062,1cc73440-e8a9-47fc-b3f2-f869482c86ac
Jalapeno Bowl,136063,f5ed9e73-f950-46be-960d-de6cdbb22894
Jalapeno Bowl,136064,1c0c55ce-1ca3-479b-85fd-99ebac11f647
Original Bowl,136066,5f8eb103-2f30-4a45-9d15-843dbd4c5927
Zinger Bowl,136067,f48eb0a0-ab81-45a1-a760-9ce80f61d8e9
"Zinger Protein ",136068,e5e15ba7-88bb-4639-87c3-e0a1c780620b
Lg Coleslaw,136072,8004b8d7-14fd-413f-a565-6edc515998d2
Add 2 Sides,136073,0e45c6af-7a0f-4fdc-bc2b-b11eef0d3fba
Reg Chips,136075,a3aa8265-12f6-4d0d-b13f-0cc132dd76a7
Reg Pot/Gravy,136076,5a1ab798-3d7c-461b-a3a7-8e43a8579d90
Reg Coleslaw,136077,eb5238b6-2e87-4ebc-a2fc-db8937eb9ad3
Gravy,136078,5087522e-a8ec-4313-a00c-bd2b091aff7d
Dinner Roll,136079,d91c054b-28f0-47fa-8d7b-0ca10bb47f32
2 Choc Mousse,136080,515bf18c-2078-4d38-af67-fdfb09138c53
Lg Chips,136100,b4558f45-ab6f-40dc-935f-1d67c844ac18
Lg Pot/Gravy,136101,6388121d-7065-47c5-b167-b9da21bf50a8
Lg Coleslaw,136102,c2b87b19-b9fc-4959-adef-a1d683ee5794
2 x Gravy,136103,fb351ae1-b38e-4fda-b0d5-17f2e69afd1c
Dinner Roll,136104,1e2cd3ef-9e65-4e70-9d69-b01183b15f9b
Gravy,136105,efc95a53-7c79-4595-8119-a4c18cae6581
Reg Chips,136501,e8b7cea5-7538-4efd-bd6f-42554a7279e9
Lg Chips,136502,a9677382-f933-4c34-af23-8abd0ad35202
Reg Pot/Gravy,136503,ef7288fc-53cd-4244-9e6b-4c6145b61a01
Lg Pot/Gravy,136504,912e0c04-329c-4cbb-9836-021e995b63b6
Reg Coleslaw,136505,deb3e400-4c94-4cc9-93ef-85ab76540e21
Lg Coleslaw,136506,e8beafdb-fb19-4504-9c11-2346f535cd58
Gravy,136507,42f64951-a003-4120-b133-9e57391deed9
Jalapeno Slaw,136508,2e9fcebf-2c3d-436e-8166-c4f6ceca52e3
Dinner Roll,136509,7537d22e-3538-4437-b0ee-42d5f14bdd01
Choc Mousse,136510,462de0dc-7f1b-41fc-a34c-e88ade81680b
4 Rg Coleslaw,136511,16763a46-e846-4ff0-97ed-cd0bf43ef7b0
Original Bowl,136561,82c7975a-9d75-418f-a43a-ab3bc3737b9e
Zinger Bowl,136562,788fa429-9d19-4dc6-afc6-ae1394bdbe0e
Test Side 01Chi,136563,e7562836-b3f8-42dd-a58e-804c77c32722
Regular Pepsi M,140555,edc3cafb-d8be-495a-9c02-28dc2482b066
Large Pepsi Max,140556,a026004a-df26-4a95-b38b-482b638d0e40
_______________,141000,a4d33aea-273d-47a9-8cd3-a15a49a152ec
<Drinks>,141001,5ccebc71-4609-43bb-b456-e35a6cf31476
NO DRINK,141002,ce013012-bd6b-4f8e-b160-f6f5bd4803a4
4 Reg Drinks,141006,416ab4be-7125-46ad-b43e-92538b72c26d
Reg Pepsi,141007,595e7051-6935-4d87-be93-413f6b6aa71b
Upsize Drink,141009,5b9cc597-6200-4643-8779-a65d6771e264
