choiceCode,variantCode,variantName,upcharge_Amount
Shared Meals 3rd  Side choice,136047,4 Dinner Rolls,.0
Shared Meals 3rd  Side choice,136026,Gravy,.0
Combo Drinks,141070,Water 600mL,.0
Combo Drinks,141013,Sparkling Water,.0
Combo Drinks,141076,Apple Juice,.0
Combo Drinks,141126,Lipton Iced Tea,.90
Boxed Meal - 1 Wicked Wing,181004,Wicked Wing,.0
Zinger Burger Choice,,100250NOTADUPE,.0
Boxed Chicken Choice - 1 PC Original,170101,Original,.0
Boxed Chicken Choice - 1 PC Original,182007,2 BONELESS H&C,.0
Boxed Chicken Choice - 1 PC Original,170703,3 Wicked Wings,.0
Boxed Chicken Choice - 1 PC Original,170102,> HOT & SPICY <,.0
Boxed Chicken Choice - 1 PC Original,170601,TENDER,.50
Boxed Chicken Choice - 1 PC Original,182012,Crispy Fillet,1.35
Boxed Chicken Choice - 1 PC Original,170502,Zinger PC,1.35
Boxed Chicken Choice - 1 PC Original,185002,Snack Popcorn,.0
Boxed Chicken Choice - 1 PC Original,191013,Go 1 Hot&Crispy,.0
Shared Meals 4th Burger Choice,120008,Original Twist,.0
Shared Meals 4th Burger Choice,120009,Zinger Twist,.0
Shared Meals 4th Burger Choice,100068,Zinger Crunch,.0
Shared Meals 4th Burger Choice,100500,,.0
Shared Meals 4th Burger Choice,100501,Double Tender,.0
Shared Meals 4th Burger Choice,,100250NOTADUPE,.0
Shared Meals 4th Burger Choice,100057,Double Tender,.0
Shared Meals 4th Burger Choice,100502,Zinger B&C,.0
Shared Meals 4th Burger Choice,100089,OC B&C,.0
Shared Meals 4th Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 4th Burger Choice,100050,Fillet Burger,.0
Shared Meals 1st Burger Choice,120008,Original Twist,.0
Shared Meals 1st Burger Choice,120009,Zinger Twist,.0
Shared Meals 1st Burger Choice,100068,Zinger Crunch,.0
Shared Meals 1st Burger Choice,100500,,.0
Shared Meals 1st Burger Choice,100501,Double Tender,.0
Shared Meals 1st Burger Choice,,100250NOTADUPE,.0
Shared Meals 1st Burger Choice,100057,Double Tender,.0
Shared Meals 1st Burger Choice,100502,Zinger B&C,.0
Shared Meals 1st Burger Choice,100089,OC B&C,.0
Shared Meals 1st Burger Choice,100088,Orig Crispy Bgr,.0
Shared Meals 1st Burger Choice,100050,Fillet Burger,.0
Fillet PC,182000,Fillet Pc,.0
Fillet PC,182005,2 OC Fillets,.0
Fillet PC,182002,6 Fillets,.0
Combo 1st Drinks choice,141070,Water 600mL,.0
Combo 1st Drinks choice,141013,Sparkling Water,.0
Combo 1st Drinks choice,141076,Apple Juice,.0
Combo 1st Drinks choice,141126,Lipton Iced Tea,.90
Boxed Chicken Choice - 2 Hot & Crispy,185002,Snack Popcorn,.0
Boxed Chicken Choice - 2 Hot & Crispy,170502,Zinger PC,1.35
Boxed Chicken Choice - 2 Hot & Crispy,182012,Crispy Fillet,1.35
Boxed Chicken Choice - 2 Hot & Crispy,170601,TENDER,.50
Boxed Chicken Choice - 2 Hot & Crispy,170102,> HOT & SPICY <,.0
Boxed Chicken Choice - 2 Hot & Crispy,170703,3 Wicked Wings,.0
Boxed Chicken Choice - 2 Hot & Crispy,182007,2 BONELESS H&C,.0
Boxed Chicken Choice - 2 Hot & Crispy,170101,Original,.0
Nugget Choices,184010,Nuggets,.0
Nugget Choices,184002,12 Nuggets,.0
Nugget Choices,184011,5 Nuggets,.0
Combo 1st Burger Choice,120008,Original Twist,.0
Combo 1st Burger Choice,120009,Zinger Twist,.0
Combo 1st Burger Choice,100068,Zinger Crunch,.0
Combo 1st Burger Choice,100500,,.0
Combo 1st Burger Choice,100501,Double Tender,.0
Combo 1st Burger Choice,,100250NOTADUPE,.0
Combo 1st Burger Choice,100057,Double Tender,.0
Combo 1st Burger Choice,100502,Zinger B&C,.0
Combo 1st Burger Choice,100089,OC B&C,.0
Combo 1st Burger Choice,100088,Orig Crispy Bgr,.0
Combo 1st Burger Choice,100050,Fillet Burger,.0
Kids Meal Nuggets,184006,4 Nuggets,.0
Chips 1st Choice,136018,$1 Reg Chips,.0
Combo 2nd Sides Choice,136040,Reg Coleslaw,.0
Combo 2nd Sides Choice,136026,Gravy,.0
Combo 2nd Sides Choice,136046,Dinner Roll,.0
Shared Meals 4th Side choice,136047,4 Dinner Rolls,.0
Shared Meals 4th Side choice,136026,Gravy,.0
Shared Meals 4th Side choice,136035,Gravy 2x110g,.0
2 PC choice,180052,2 PC,.0
Original Crispy BBQ Bacon Stacker® Burger Choice,100502,Zinger B&C,.0
Original Crispy Bacon & Cheese Burger choice,100088,Orig Crispy Bgr,.0
Boxed Chicken Choice - 1 PC Original Tender,185002,Snack Popcorn,.0
Boxed Chicken Choice - 1 PC Original Tender,170502,Zinger PC,1.35
Boxed Chicken Choice - 1 PC Original Tender,182012,Crispy Fillet,1.35
Boxed Chicken Choice - 1 PC Original Tender,170601,TENDER,.50
Boxed Chicken Choice - 1 PC Original Tender,170102,> HOT & SPICY <,.0
Boxed Chicken Choice - 1 PC Original Tender,170703,3 Wicked Wings,.0
Boxed Chicken Choice - 1 PC Original Tender,182007,2 BONELESS H&C,.0
Boxed Chicken Choice - 1 PC Original Tender,170101,Original,.0
